,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
218,Caps,ADC,1,100%,3.1,14,7,8,7.8,633,25.2,1137,0.48,0.19,0.04,0.04,5155,59,1361,0%,0%,0,3
219,Carbono,JUNGLE,35,37.1%,2.5,3.3,3.5,5.6,6.2,360,18.6,361,1.38,0.41,0.35,0.25,319,16,444,17.1%,11.4%,0,2
220,Carzzy,ADC,37,67.6%,4.8,5.4,2.4,6,9.6,467,29.4,573,1.23,0.42,0.37,0.18,310,7,88,21.6%,8.1%,0,13
221,Catch,JUNGLE,11,36.4%,2.2,1.8,2.9,4.5,4.9,303,11.2,203,1.82,0.87,0.39,0.37,-317,-5,-386,36.4%,18.2%,0,-
222,Cboi,JUNGLE,46,47.8%,2.4,1.7,3.5,6.9,4.9,314,13.6,235,1.67,0.63,0.41,0.33,8,2,112,32.6%,8.7%,0,3
223,Cdric,MID,28,32.1%,2.5,4,3.2,4.2,7.8,378,26.3,513,1.03,0.43,0.22,0.25,-447,-7,-200,32.1%,3.6%,0,19
224,Celebrity,ADC,90,54.4%,3.9,4,2.4,5.3,9.1,443,25.3,458,1.06,0.41,0.28,0.14,94,-2,-189,20%,11.1%,1,8
225,Ceos,SUPPORT,51,60.8%,4.2,1,2.4,8.8,1.5,254,9.1,174,2.30,1.37,0.26,0.45,-50,-1,57,31.4%,13.7%,0,-
226,Ceros,MID,48,81.3%,5.1,2.2,1.6,6.1,8.1,375,24.3,460,0.98,0.60,0.15,0.31,-56,1,-10,16.7%,4.2%,0,14
227,Changhong,TOP,60,46.7%,2.4,2.2,3.1,5.1,7.5,369,22.5,380,-,0.41,0.12,0.12,-,-,-,0%,0%,0,-
228,Chapapi,MID,6,33.3%,2,2.5,3.7,4.7,7.6,347,29.4,495,0.98,0.54,0.15,0.21,-426,-10,-498,16.7%,0%,0,2
229,Charca,ADC,33,48.5%,3.2,3.7,2.9,5.5,8.4,408,28.4,554,0.89,0.36,0.20,0.16,-340,-3,-141,9.1%,12.1%,0,1
230,Charger,TOP,28,32.1%,1.8,1.8,2.9,3.4,7.3,357,21.3,393,0.92,0.46,0.15,0.14,16,1,76,14.3%,17.9%,0,8
231,Chazz,MID,42,14.3%,1.6,2.4,3.5,3.2,8.1,361,24.4,363,0.93,0.45,0.18,0.24,-525,-11,-441,11.9%,16.7%,0,5
232,Chelizi,TOP,48,29.2%,2.5,1.9,2,3.2,8,365,21.8,340,-,0.47,0.19,0.20,-,-,-,0%,0%,0,-
233,Chelly,ADC,36,33.3%,2.7,2.4,2.5,4.4,9,394,25.7,416,-,0.38,0.36,0.10,-,-,-,-,-,0,-
234,Chelly,SUPPORT,7,14.3%,1.3,0.9,3.9,4,1.5,241,12.6,188,-,1.29,0.34,0.39,-,-,-,-,-,0,-
235,Chen9,MID,2,0%,1.7,1,1.5,1.5,8.4,348,18.0,211,-,0.48,0.16,0.27,-,-,-,-,-,0,-
236,Chenxuan,SUPPORT,3,0%,0.6,0,7.3,4.7,1.2,210,8.8,144,1.68,1.19,0.17,0.35,-793,2,-565,33.3%,33.3%,0,-
237,CheonGo,MID,17,5.9%,1.1,1.5,3.2,2.1,8.3,343,21.0,308,1.20,0.56,0.34,0.22,-633,-14,-369,17.6%,5.9%,0,2
238,CheonGo,TOP,3,0%,2.5,1.3,2,3.7,7.9,343,13.5,194,1.06,0.63,0.16,0.30,-1276,-17,-449,0%,33.3%,0,-
239,Chibs,MID,17,58.8%,3.9,3.2,2.1,4.9,8.3,392,20.5,354,1.04,0.46,0.22,0.17,-346,-8,-389,11.8%,0%,0,5
240,Chilly,SUPPORT,23,47.8%,3.3,1,2.7,7.7,1,247,11.3,198,2.12,1.21,0.28,0.37,-27,-0,-184,17.4%,0%,0,1
241,Chippys,TOP,41,46.3%,3.6,3.3,2.1,4,8.7,416,23.6,401,1.04,0.43,0.16,0.17,240,7,260,26.8%,12.2%,1,10
242,Chippys,MID,4,25%,3.9,4.5,2,3.3,9.3,438,27.8,438,1.05,0.42,0.38,0.17,680,10,678,25%,0%,0,1
243,Choisix,SUPPORT,5,80%,6.9,2.2,1.4,7.4,1.5,298,9.6,167,2.51,1.11,0.41,0.35,395,-4,169,40%,0%,0,-
244,Chopsteek,ADC,1,0%,3,5,2,1,8.2,446,24.8,434,1.07,0.35,0.35,0.14,-35,-20,-884,0%,0%,0,-
245,ChosenOne,TOP,3,0%,0.6,1,6,2.3,6.7,321,24.9,375,0.79,0.30,0.16,0.06,-2251,-25,-1746,0%,33.3%,0,1
246,Chosii,TOP,1,0%,2,0,2,4,7,301,12.8,189,0.75,0.43,0.22,0.14,-1251,-16,-1280,0%,0%,0,-
247,Chosii,MID,28,21.4%,1.8,3.1,3.4,3,8.4,376,26.5,453,0.96,0.41,0.15,0.19,-201,-8,-407,25%,7.1%,0,14
248,Chosii,ADC,2,50%,5.8,4,2,7.5,9.5,437,22.1,467,1.13,0.46,0.15,0.21,611,-4,2306,100%,0%,0,2
249,Chovy,MID,110,70.9%,6.8,2.9,1.2,4.9,9.9,427,23.7,411,1.20,0.47,0.34,0.18,406,10,374,28.2%,4.5%,0,37
250,Chrisberg,ADC,22,36.4%,2.6,3.8,3,4.1,8.9,413,31.3,550,0.70,0.24,0.23,0.02,-336,0,-169,27.3%,4.5%,0,3
251,Ciel,JUNGLE,31,35.5%,2.6,2.2,3.1,5.7,4.6,311,12.9,219,1.84,0.73,0.42,0.39,-468,-9,-642,41.9%,3.2%,0,3
252,Ciglio,ADC,3,33.3%,2.8,4.3,3.3,5,7.2,372,24.3,442,0.98,0.26,0.30,0.11,-822,-28,-508,33.3%,0%,0,-
253,Cinkrof,JUNGLE,66,59.1%,3,1.5,2.9,7.3,4.5,309,12.4,232,1.70,0.71,0.37,0.43,-80,-3,-123,47%,16.7%,0,5
254,Cl0x,SUPPORT,6,33.3%,2.4,0.2,3.7,8.5,1.2,236,9.6,182,1.88,1.03,0.25,0.37,-106,-3,-128,0%,0%,0,-
255,Claire,MID,46,69.6%,3.5,4.3,2.6,4.7,8.7,419,27.4,513,1.02,0.46,0.17,0.21,69,1,69,19.6%,13%,0,24
256,ClearLove,JUNGLE,24,66.7%,3.7,1.4,2.3,7.2,4.5,306,9.6,180,-,0.90,0.36,0.39,-,-,-,-,-,0,-
257,Clever9,TOP,1,100%,3.5,1,2,6,9.2,433,19.9,452,-,0.62,0.16,0.26,-,-,-,-,-,0,-
258,Click,SUPPORT,35,51.4%,3.8,0.9,2.5,8.4,1.1,246,10.0,181,2.29,1.35,0.31,0.47,3,0,78,31.4%,5.7%,0,-
259,Clid,JUNGLE,137,68.6%,5.1,2.6,1.8,6.6,5.2,339,13.3,240,2.31,1.05,0.55,0.38,189,1,157,52.6%,5.8%,0,21
