,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
337,Deft,ADC,109,58.7%,4.4,3.4,2,5.2,9.7,441,33.0,588,1.40,0.55,0.39,0.22,138,2,9,20.2%,8.3%,0,8
338,Deftly,ADC,54,53.7%,5.4,3.6,1.6,5.2,9.2,431,26.8,556,1.25,0.38,0.37,0.19,305,12,63,22.2%,5.6%,0,2
339,Deidara,TOP,17,35.3%,2.3,3.8,3.5,4.2,8.2,399,24.6,510,1.05,0.46,0.16,0.13,276,7,299,5.9%,23.5%,0,19
340,Deidara,ADC,2,0%,1.3,4,6,3.5,8,372,23.4,440,1.25,0.58,0.24,0.22,349,12,1474,0%,0%,0,4
341,DejaVu,MID,2,50%,3,3,3,6,7.2,371,17.7,300,0.61,0.41,0.05,0.12,-1006,-20,-507,0%,50%,0,-
342,Delitto,TOP,8,37.5%,1.3,1,3.6,3.9,7.2,334,22.8,392,1.10,0.52,0.23,0.23,-831,-8,-466,12.5%,0%,0,1
343,Demon12,JUNGLE,36,63.9%,3.6,2.3,2.9,8.3,4.6,320,12.6,243,1.30,0.38,0.30,0.35,0,-0,6,30.6%,8.3%,0,2
344,Demoncior,ADC,1,0%,2,4,3,2,8,381,28.2,400,0.69,0.31,0.19,0.04,-386,-6,12,0%,0%,0,-
345,Denyk,JUNGLE,1,0%,1.4,3,5,4,4.3,332,18.1,287,1.84,1.04,0.35,0.50,-484,-12,-910,0%,100%,0,-
346,Denyk,SUPPORT,64,67.2%,5,1,2,9,1.6,272,7.7,136,2.08,1.20,0.22,0.37,-20,-1,221,25%,6.3%,0,-
347,Destiny,SUPPORT,57,63.2%,6.3,0.9,1.8,10.1,1.5,267,9.1,168,2.41,1.30,0.30,0.37,99,3,102,22.8%,1.8%,0,1
348,Deul,ADC,25,76%,7,4.9,1.4,5.1,9.8,475,28.2,557,0.94,0.32,0.23,0.09,1066,17,458,16%,4%,0,4
349,Dexui,JUNGLE,1,0%,0.6,0,7,4,3.6,240,12.7,187,0.91,0.32,0.23,0.23,-2856,-27,-2004,0%,0%,0,-
350,Dhokla,TOP,39,41%,2,2.1,2.3,2.6,7.9,374,21.1,355,0.96,0.47,0.18,0.20,-192,-4,-19,15.4%,15.4%,0,7
351,Dia1,MID,67,52.2%,3.3,3.6,2.6,4.8,9.3,425,27.5,488,1.30,0.52,0.24,0.22,225,1,177,16.4%,6%,0,23
352,Dia1,JUNGLE,1,100%,11,3,1,8,4.6,323,14.7,276,1.29,0.32,0.38,0.26,-649,-19,-906,100%,0%,0,-
353,Diamond,SUPPORT,49,71.4%,5,1.7,2.5,10.7,1.5,283,9.0,197,2.22,1.11,0.31,0.29,321,5,292,24.5%,2%,0,1
354,Diamondprox,JUNGLE,38,71.1%,3.3,2.5,2.9,7.2,5.3,341,13.8,289,2.07,0.75,0.49,0.31,305,9,333,47.4%,7.9%,0,6
355,Disave,ADC,3,66.7%,3.4,3.3,2.3,4.7,9.2,425,25.5,504,1.14,0.38,0.32,0.13,69,3,366,33.3%,0%,0,-
356,DiscotEkka,MID,24,62.5%,3.2,2.8,2.8,5.9,7.3,370,22.9,440,0.77,0.39,0.13,0.15,-187,-10,-273,12.5%,25%,0,-
357,Div Kid,ADC,32,31.3%,3.1,4,2.9,5.1,9.3,435,26.3,519,1.15,0.47,0.26,0.15,60,1,12,12.5%,12.5%,0,5
358,Divkid,ADC,18,44.4%,3.3,3.8,2.4,4.2,9.8,450,28.4,454,1.29,0.45,0.41,0.13,-4,-2,-100,33.3%,11.1%,0,4
359,Dizzy,ADC,12,58.3%,4.9,4.2,1.8,4.8,8.9,428,28.4,495,0.92,0.33,0.20,0.09,441,7,93,50%,0%,0,3
360,Djoko,JUNGLE,51,76.5%,4.5,2.3,2.7,9.6,4.7,330,14.4,289,1.89,0.71,0.43,0.35,309,2,132,45.1%,3.9%,0,6
361,DoeDoii,JUNGLE,20,60%,3.6,4.7,3.7,8.4,4.9,368,17.3,368,1.57,0.63,0.32,0.37,85,-7,-101,35%,20%,0,10
362,Doinb,JUNGLE,1,100%,9,2,2,16,7.9,430,14.6,319,-,0.68,0.41,0.17,-,-,-,-,-,0,-
363,Doinb,MID,109,77.1%,5.5,4.1,2,7,9.1,441,25.7,471,1.14,0.44,0.24,0.14,195,-0,131,9.2%,0.9%,0,5
364,Domas,MID,3,0%,1.1,2.7,4.7,2.3,8.8,381,28.0,427,0.76,0.47,0.07,0.14,-656,-7,-595,0%,33.3%,0,1
365,Domec,SUPPORT,4,0%,1.2,1,4.3,4.3,1.6,219,8.8,135,2.44,1.40,0.33,0.34,-72,4,53,25%,50%,0,-
366,Don Arts,JUNGLE,27,74.1%,3.6,2.2,3,8.6,5.3,340,13.9,267,1.63,0.56,0.36,0.25,89,4,186,37%,29.6%,0,2
367,Don Hell,SUPPORT,2,0%,1.5,1,5.5,7,0.6,217,8.8,144,1.18,0.67,0.19,0.34,-1782,-42,-404,50%,0%,0,-
368,DonShu,TOP,21,33.3%,1.6,1.4,3,3.5,7,336,19.0,307,0.87,0.42,0.14,0.15,-563,-12,-222,4.8%,23.8%,0,2
369,Doran,TOP,23,60.9%,2.6,2.7,2.3,3.1,9.3,420,25.4,416,1.03,0.49,0.20,0.16,276,4,96,30.4%,30.4%,0,7
370,Doss,SUPPORT,28,57.1%,2.8,0.9,3.9,10,1.2,251,7.9,163,2.19,1.34,0.24,0.40,-234,-2,-83,14.3%,21.4%,0,-
371,DoubleAiM,JUNGLE,3,0%,1.8,4.3,4.3,3.3,6.3,363,25.8,470,1.32,0.25,0.43,0.20,-136,16,551,0%,33.3%,0,2
372,Doublelift,ADC,84,66.7%,5.1,3.9,1.9,5.6,9.5,448,28.3,533,1.44,0.44,0.40,0.13,152,1,110,23.8%,13.1%,0,5
373,Dove,MID,99,57.6%,4,2.7,1.8,4.5,8.7,391,25.8,445,1.09,0.44,0.29,0.23,-15,3,104,18.2%,6.1%,0,17
374,Doxy,TOP,32,50%,3.1,3.2,2.5,4.5,7.5,381,23.4,421,1.05,0.51,0.18,0.21,298,4,136,12.5%,18.8%,0,15
375,DrMatt,MID,36,41.7%,2.7,2.9,2.8,4.5,7.5,358,25.4,445,1.00,0.48,0.15,0.19,-326,-13,-228,22.2%,8.3%,0,16
376,Dragku,TOP,4,25%,4.8,2.3,1.5,5,9.1,414,28.8,431,1.13,0.52,0.20,0.25,240,-1,317,25%,0%,0,-
377,Dread,MID,43,46.5%,3.5,4.6,2.9,5.4,8.3,412,28.6,530,1.04,0.46,0.20,0.22,237,5,-1,32.6%,7%,0,20
378,Dread,JUNGLE,93,45.2%,2.5,2.2,3.1,5.4,4.9,318,13.3,219,1.91,0.82,0.52,0.39,-15,-3,-181,37.6%,8.6%,0,8
379,Dread (CZ),MID,3,0%,0.4,0.7,3.3,0.7,8.6,346,18.6,249,1.00,0.47,0.14,0.22,-652,-7,-689,0%,0%,0,-
380,Dream,ADC,66,50%,3.6,4.1,2.6,5.3,9.2,436,29.2,574,0.97,0.39,0.26,0.20,-109,2,-31,24.2%,6.1%,0,14
381,DreamS,SUPPORT,42,42.9%,2.4,1,3.3,6.9,1.4,248,7.1,129,2.24,1.36,0.22,0.45,-83,5,-23,21.4%,21.4%,0,3
382,Dreampull,JUNGLE,1,100%,5.5,5,2,6,6.9,448,19.6,557,0.65,0.10,0.10,0.05,1010,28,1626,0%,0%,0,-
383,Dreampull,TOP,13,38.5%,3.1,3.1,2.5,4.7,7.6,383,24.8,466,0.86,0.45,0.14,0.14,-55,-0,-117,7.7%,0%,0,5
384,Dreedy,TOP,29,65.5%,3.6,4.3,2.7,5.4,8.2,419,25.2,487,0.96,0.47,0.13,0.20,791,17,522,27.6%,6.9%,0,22
385,DuaLL,SUPPORT,34,50%,2.6,1,3.5,7.9,1.4,258,12.6,232,2.09,1.08,0.30,0.29,-189,4,234,8.8%,17.6%,0,2
386,Duan,SUPPORT,38,57.9%,3.3,0.7,2.9,9,1.3,244,8.3,149,-,1.54,0.42,0.40,-,-,-,0%,0%,0,-
387,Duclou,TOP,45,37.8%,1.9,1.7,2.7,3.6,7.8,359,21.3,366,0.96,0.51,0.15,0.20,-298,-9,-72,17.8%,8.9%,0,10
388,DudsTheBoy,ADC,48,60.4%,3.8,3.7,2.4,5.3,9.4,441,29.7,586,1.23,0.45,0.32,0.23,213,6,185,27.1%,10.4%,0,3
389,Duke,TOP,13,53.8%,3.5,3.3,2.7,6,7.7,389,18.7,427,1.01,0.37,0.13,0.06,880,12,401,0%,0%,0,-
390,Dumbledoge,SUPPORT,37,64.9%,3.8,1.7,2.6,7.9,1.4,279,11.0,224,2.47,1.22,0.35,0.33,118,1,-18,27%,5.4%,0,3
391,Duoking,SUPPORT,12,50%,2.3,0.9,3.8,7.8,1,257,9.2,172,2.18,1.25,0.25,0.36,-352,-7,-126,8.3%,0%,0,-
392,DyBer,JUNGLE,11,18.2%,1.5,0.6,4,5.5,4.6,292,11.4,199,1.33,0.45,0.33,0.27,-367,9,132,18.2%,0%,0,-
393,Dzondzy,SUPPORT,41,48.8%,3.2,0.8,3,8.9,1.9,272,8.0,160,2.46,1.37,0.33,0.40,226,10,220,12.2%,9.8%,0,1
394,Eason,SUPPORT,4,25%,2.1,1.5,3.8,6.5,1.3,234,7.2,117,2.47,1.49,0.29,0.47,-140,8,25,0%,0%,0,-
395,EasyLove,ADC,52,32.7%,2.6,2.8,2.7,4.3,9.6,423,24.3,451,1.07,0.39,0.30,0.15,-59,-0,48,15.4%,9.6%,0,8
396,Eckas,JUNGLE,37,67.6%,5.1,4.2,2.4,8.3,5.3,367,17.9,391,1.45,0.46,0.30,0.28,226,2,125,43.2%,5.4%,0,14
397,Edems,ADC,10,30%,3.3,4.8,2.9,4.8,8.5,412,23.7,464,0.68,0.28,0.17,0.08,-1146,-13,-108,0%,0%,0,2
398,Edward,SUPPORT,34,67.6%,4,1.2,2.9,10.3,1.3,270,9.6,183,2.40,1.33,0.39,0.36,187,2,206,23.5%,2.9%,0,-
399,Effort,SUPPORT,52,76.9%,4.2,0.4,2,7.9,1.6,263,6.9,123,2.73,1.78,0.35,0.50,-57,-4,-131,23.1%,5.8%,0,1
400,Efias,SUPPORT,27,66.7%,4.2,1.2,2.7,10.3,1.6,275,10.6,223,2.10,1.22,0.22,0.36,-46,5,-51,22.2%,7.4%,0,3
401,Egospeed,TOP,7,14.3%,1.8,3.1,3.3,2.9,6.7,333,21.9,365,0.91,0.44,0.12,0.16,-76,-13,-111,28.6%,0%,0,9
402,Eika,MID,51,76.5%,5.3,4.9,2.1,6,8.7,432,25.8,528,1.26,0.47,0.24,0.19,524,6,348,27.5%,9.8%,0,37
403,Eimy,JUNGLE,5,20%,1.7,1.2,4,5.6,4.1,271,9.1,167,-,0.76,0.47,0.41,-,-,-,-,-,0,-
404,Ekka,MID,17,41.2%,4.1,2.7,1.8,4.8,7.9,380,25.8,425,0.96,0.34,0.17,0.12,380,6,42,29.4%,11.8%,0,6
405,EliWood,SUPPORT,13,30.8%,1.7,0.5,3.2,4.7,1.5,239,10.8,141,2.50,1.46,0.35,0.45,-235,3,-122,23.1%,15.4%,0,1
406,Elramir,JUNGLE,2,50%,2.8,5.5,4,5.5,5.2,348,16.2,394,1.44,0.40,0.37,0.37,364,15,370,0%,0%,0,-
407,Emp,MID,26,53.8%,6.8,3.5,1.2,4.3,8.7,404,25.4,457,1.05,0.45,0.22,0.18,356,3,159,23.1%,3.8%,0,5
408,Empt2y,JUNGLE,18,50%,2.6,1.8,2.5,4.7,4.9,306,10.4,173,1.47,0.61,0.32,0.41,-367,-7,-314,27.8%,22.2%,0,-
409,Emtest,ADC,19,42.1%,3.5,3.6,2.2,4.2,9.4,421,29.1,468,1.13,0.42,0.32,0.17,19,0,-314,15.8%,15.8%,0,-
410,Endz,MID,1,0%,0.7,1,3,1,10.9,416,29.6,250,0.56,0.18,0.20,0.09,-2086,-2,-1048,0%,0%,0,-
411,Endz,ADC,36,75%,5,5.8,2.5,6.7,9.6,477,26.7,597,0.97,0.28,0.26,0.09,575,16,157,25%,11.1%,1,7
412,Energy,MID,16,56.3%,5.1,4.6,2.3,7.1,8.4,421,27.7,608,1.07,0.43,0.20,0.19,1013,8,466,12.5%,12.5%,0,6
413,Engo,TOP,29,41.4%,3.8,2.1,1.9,5.2,7.3,345,20.1,373,1.05,0.53,0.17,0.24,-307,-6,-295,13.8%,10.3%,0,3
414,Enjawve,SUPPORT,38,47.4%,2.8,0.8,3.6,9.2,1.3,249,9.7,191,2.34,1.45,0.26,0.42,-96,0,-165,26.3%,18.4%,0,1
415,Enso,JUNGLE,24,41.7%,2.9,1.9,2.8,6.3,4.4,304,12.1,212,1.46,0.68,0.30,0.40,-75,-5,-212,41.7%,8.3%,0,2
416,Enty,SUPPORT,48,54.2%,5.4,0.9,1.6,8,1.6,265,9.6,175,2.58,1.45,0.35,0.41,90,-0,8,25%,16.7%,0,-
417,Envy,MID,65,53.8%,4.7,3.2,1.6,4.6,8.5,393,23.3,405,1.12,0.48,0.23,0.25,182,0,-24,18.5%,12.3%,1,20
418,Eragon,TOP,8,25%,1.2,1.5,3.6,2.8,6.6,325,21.9,372,1.05,0.61,0.11,0.32,-190,-10,-291,0%,0%,0,3
419,Erdote,SUPPORT,94,59.6%,3.7,0.7,2.5,8.4,1.6,256,8.4,154,2.47,1.53,0.30,0.50,-134,2,-171,25.5%,10.6%,0,2
420,Eren,MID,45,42.2%,2.5,3,3,4.5,8.4,389,27.6,509,0.93,0.47,0.16,0.18,-89,-1,-107,24.4%,8.9%,0,16
421,Error,MID,5,20%,2.3,1.2,2,3.4,8.6,354,21.7,261,1.02,0.54,0.23,0.30,-490,-12,-158,20%,20%,0,-
422,Erry,ADC,36,36.1%,3.2,3.2,2.4,4.4,8.5,395,25.3,483,1.45,0.54,0.37,0.23,-408,-7,-254,8.3%,13.9%,0,1
423,Escalona,TOP,6,50%,1.5,1.5,4,4.5,7.4,360,22.2,397,0.99,0.45,0.16,0.19,310,15,279,16.7%,66.7%,0,1
424,Evi,TOP,59,81.4%,4.6,3.5,1.8,4.9,7.8,400,25.8,485,1.04,0.47,0.17,0.18,198,3,292,20.3%,8.5%,0,30
425,Exile,MID,23,47.8%,3.1,3,2.4,4.4,8.4,387,26.5,454,0.97,0.48,0.19,0.21,56,-1,264,13%,8.7%,0,7
426,Exosen,MID,20,60%,3.6,4,2.9,6.4,8.2,422,25.0,535,0.96,0.44,0.20,0.15,216,2,70,15%,5%,0,13
427,Expect,TOP,35,25.7%,2.3,1.9,2.6,4.1,7.8,361,22.4,335,1.03,0.49,0.18,0.20,-7,-5,-19,22.9%,11.4%,0,8
428,Expect,ADC,1,0%,1.4,7,11,8,5.7,392,17.4,447,0.71,0.37,0.11,0.04,-5155,-59,-1361,0%,0%,0,1
429,Eyla,SUPPORT,47,70.2%,4.3,0.8,2.3,9.1,1.3,256,10.6,189,2.48,1.25,0.37,0.35,2,-5,51,27.7%,12.8%,0,-
430,FALL1N42,SUPPORT,3,33.3%,2,1.3,4.3,7.3,1,244,7.5,123,2.12,1.15,0.37,0.27,-80,-6,-307,33.3%,33.3%,0,-
431,FBI,ADC,44,68.2%,4.4,5,2.5,6,9.2,456,29.6,618,1.20,0.44,0.29,0.20,390,9,106,25%,15.9%,0,3
432,FUN k3y,ADC,10,30%,1.9,3.6,3.4,3,9,407,31.3,480,0.96,0.38,0.21,0.17,111,9,-94,20%,0%,0,-
433,FakeGod,TOP,45,46.7%,2.4,2.2,2.7,4.2,7.6,369,21.6,420,1.03,0.48,0.19,0.18,-273,-4,-216,15.6%,6.7%,0,7
434,Faker,MID,140,67.9%,4.1,2.9,1.9,5,9,409,25.4,446,1.20,0.53,0.28,0.22,162,4,71,27.1%,7.9%,0,41
435,Falco,SUPPORT,46,60.9%,3.6,0.8,2.8,9.2,1.4,260,9.9,188,2.29,1.23,0.31,0.38,70,-2,123,23.9%,6.5%,0,-
436,Fallen Angel,JUNGLE,14,14.3%,2.6,2.1,2.7,4.9,4.9,310,14.3,228,1.39,0.33,0.42,0.26,-402,-4,-332,35.7%,0%,0,1
437,FallenBandit,TOP,35,37.1%,1.9,2.1,3.7,4.9,7.2,353,23.4,436,1.10,0.52,0.18,0.22,22,-2,-160,11.4%,11.4%,0,7
438,Fanatiik,JUNGLE,10,50%,2.9,1.9,3.1,7.2,4.3,307,10.6,215,1.17,0.48,0.22,0.42,-301,-11,-564,60%,0%,0,-
439,Farfetch,SUPPORT,24,54.2%,2.7,0.6,3.7,9.4,1.1,237,7.9,153,2.29,1.29,0.31,0.37,-109,-1,-117,4.2%,16.7%,0,-
440,Fastlegged,SUPPORT,3,33.3%,2.3,0.7,2.3,4.7,1.1,224,9.7,112,1.90,1.12,0.15,0.31,10,-4,296,33.3%,0%,0,-
441,Febiven,MID,24,41.7%,3.6,2.8,1.8,3.8,9.2,403,25.6,413,0.96,0.46,0.15,0.21,308,6,283,20.8%,12.5%,0,5
442,Feiz,ADC,13,53.8%,3.5,4.6,2.8,5.3,8.5,412,29.4,554,1.29,0.43,0.34,0.14,-416,-15,-429,23.1%,23.1%,0,2
443,FeniX,MID,40,32.5%,2.8,2.5,2.4,4.1,8.8,384,28.8,508,0.75,0.34,0.15,0.11,-101,5,-69,12.5%,17.5%,0,7
444,Fenixz,MID,1,0%,5,5,2,5,8.3,394,30.4,633,0.95,0.49,0.21,0.26,-237,-1,130,0%,0%,0,-
445,Fill,SUPPORT,49,46.9%,3.2,1,3.1,9,1.4,252,9.6,180,2.18,1.22,0.26,0.36,-168,-2,-73,26.5%,6.1%,0,1
446,Finn,TOP,47,68.1%,3.8,3.3,2.3,5.4,7.8,391,23.8,443,1.01,0.47,0.15,0.17,-340,-11,-178,17%,23.4%,0,20
447,Finn,ADC,1,0%,1,3,12,9,4.3,302,23.5,647,1.01,0.50,0.16,0.32,-2518,-31,-685,0%,100%,0,-
448,Fitz,TOP,45,46.7%,1.8,2.3,3.1,3.4,8.2,386,23.2,393,0.98,0.42,0.15,0.12,-75,5,0,11.1%,17.8%,0,15
449,Five,SUPPORT,43,27.9%,2.6,0.7,2.9,6.8,1.8,271,9.0,141,-,1.50,0.22,0.45,-,-,-,-,-,0,-
450,Fix,ADC,38,23.7%,2.5,2.7,2.3,3,9.2,406,27.7,415,1.08,0.40,0.31,0.19,-429,-8,-203,21.1%,5.3%,0,2
451,Flakked,ADC,26,30.8%,4.8,2.9,1.6,4.7,9.2,416,25.1,456,1.24,0.45,0.32,0.16,-202,-5,-125,19.2%,3.8%,0,1
452,Flame,TOP,15,46.7%,3.1,2.4,2.1,4.1,8.6,394,24.6,403,0.93,0.45,0.19,0.14,-7,6,-82,13.3%,20%,0,-
453,Flandre,TOP,81,45.7%,2.7,2.6,2.8,4.9,8.6,395,23.7,416,-,0.38,0.24,0.15,-,-,-,0%,0%,1,-
454,Flash,TOP,29,41.4%,3.2,3.2,2.6,5.1,7.3,369,23.5,416,0.91,0.47,0.12,0.16,-241,-9,-221,20.7%,34.5%,0,5
455,Flawless,JUNGLE,77,54.5%,3,2.2,3.1,7.1,4.8,323,12.6,232,1.81,0.84,0.44,0.40,-1082,-31,-1257,0%,0%,0,-
456,Flaxxish,TOP,22,31.8%,1.8,2.2,2.9,3,8.1,385,26.1,446,0.93,0.45,0.13,0.11,384,8,159,13.6%,9.1%,0,11
457,Flip,TOP,21,33.3%,2.1,2,3,4.1,6.9,333,20.2,360,0.81,0.41,0.14,0.11,-707,-14,-328,4.8%,14.3%,0,5
458,Flipper,JUNGLE,19,26.3%,1.7,1.9,4.4,5.6,4.6,316,14.0,252,1.42,0.60,0.32,0.26,-49,-2,-57,63.2%,21.1%,0,3
459,Flirt,ADC,8,12.5%,1.6,1.6,2.4,2.1,8.7,370,22.6,271,0.76,0.28,0.19,0.10,-534,-5,-488,12.5%,37.5%,0,-
460,Fly,MID,66,45.5%,2.9,1.5,2,4.3,8.1,353,24.6,375,1.07,0.49,0.23,0.23,-227,-9,-105,15.2%,9.1%,0,3
461,FoFo,MID,78,65.4%,5.9,3.5,1.5,5.1,8.8,408,28.1,536,1.10,0.43,0.24,0.16,330,10,221,28.2%,7.7%,0,17
462,Fomko,TOP,14,28.6%,2.3,2.6,2.4,3,7.4,355,22.7,368,1.12,0.45,0.16,0.11,-79,1,44,28.6%,14.3%,0,4
463,Forge,MID,11,54.5%,2.6,3.3,2.9,4.3,8.5,397,18.5,366,-,0.45,0.12,0.17,-,-,-,0%,0%,0,-
464,Forsaken,TOP,32,37.5%,2.2,2.3,3.4,5,7.2,355,19.8,377,0.93,0.49,0.11,0.17,-1,-6,-85,21.9%,6.3%,0,13
465,Four,JUNGLE,39,66.7%,4.7,2.7,2.2,7.5,5.1,346,14.1,281,1.58,0.58,0.40,0.33,214,7,320,28.2%,2.6%,0,11
466,Fox (PT),ADC,21,33.3%,2.4,4,3.7,4.8,8.6,407,25.0,438,0.68,0.22,0.16,0.05,-437,-11,-128,9.5%,14.3%,0,-
467,Fragas,JUNGLE,25,48%,2.4,2,3.7,7.1,4.7,315,13.7,274,1.65,0.59,0.35,0.38,-251,-6,-334,20%,24%,0,2
468,Fragola,JUNGLE,2,0%,1.1,1,4,3.5,3.9,265,9.1,124,1.57,0.87,0.38,0.27,-428,-21,-864,0%,50%,0,-
469,Fraid,TOP,28,32.1%,2,2.4,3.6,4.9,6.8,346,22.5,428,1.08,0.43,0.16,0.12,-17,-3,-90,10.7%,10.7%,0,6
470,Freeze,ADC,51,56.9%,7.4,3.7,1.3,5.6,9.3,433,28.5,542,1.22,0.35,0.36,0.10,-54,2,-26,21.6%,9.8%,0,3
471,Freire,JUNGLE,10,40%,2.7,2.6,3.6,7.1,4.9,333,15.1,258,1.70,0.63,0.54,0.36,-60,-4,-246,40%,20%,0,1
472,Freshx,JUNGLE,19,42.1%,2.3,2.1,2.8,4.4,4.9,319,12.4,220,1.60,0.73,0.32,0.35,-114,-2,-173,31.6%,21.1%,0,4
473,Fresskowy,MID,29,44.8%,3,3.3,2.4,4,8.7,385,22.9,404,0.95,0.43,0.13,0.20,-404,-2,-33,17.2%,6.9%,0,16
474,Froggen,MID,43,44.2%,3.4,3,2.3,4.8,8.6,390,30.7,587,1.06,0.42,0.24,0.19,89,6,91,18.6%,11.6%,0,15
475,Froststrike,JUNGLE,21,19%,2.8,1.8,2.1,4.3,4.7,301,11.7,176,1.22,0.45,0.31,0.39,-2,-7,-185,71.4%,9.5%,0,4
476,Frozen,MID,50,68%,6.4,4.4,1.6,6.1,8.3,407,26.8,489,1.14,0.45,0.21,0.15,292,3,182,18%,4%,0,17
477,Frozen (PT),TOP,40,82.5%,4.9,2.4,1.5,4.9,8.2,408,23.1,472,0.82,0.36,0.10,0.10,717,13,573,25%,10%,0,7
478,Fudge,TOP,23,78.3%,3.7,3.3,2.4,5.7,7.8,388,22.2,387,0.83,0.42,0.12,0.14,-75,-6,-21,34.8%,17.4%,0,13
479,Furuy,MID,8,87.5%,7.4,4.5,1.4,5.6,9.3,446,26.9,503,1.09,0.48,0.16,0.23,661,13,653,25%,12.5%,0,2
480,Fux,TOP,2,0%,1.5,2,3,2.5,7.1,338,16.8,285,0.66,0.36,0.04,0.10,-1596,-30,-844,0%,0%,0,1
481,G00DMAN,MID,4,75%,3,1.8,2,4.3,9.6,410,19.1,282,1.26,0.45,0.32,0.15,-298,8,-26,0%,0%,0,-
482,G4,MID,36,72.2%,4,4.5,2.4,5.2,8.4,408,26.9,514,1.12,0.47,0.27,0.21,557,6,325,22.2%,5.6%,0,22
483,GALA,ADC,77,50.6%,4.3,3.8,1.9,4.3,9.7,440,27.3,470,-,0.36,0.31,0.14,-,-,-,0%,0%,0,-
484,GBM,MID,51,64.7%,4.3,3.7,2.5,6.9,7.7,392,26.3,537,0.90,0.40,0.15,0.18,60,-2,-32,25.5%,5.9%,0,15
485,GGamza,TOP,19,57.9%,4.3,3.1,2.1,5.7,7.4,385,21.1,436,0.92,0.42,0.13,0.14,271,2,433,26.3%,10.5%,0,15
486,Gaax,SUPPORT,12,50%,2.3,0.7,3.5,7.5,1.2,252,8.4,144,2.11,1.33,0.20,0.39,-8,-13,-542,66.7%,8.3%,0,-
487,Gadget,SUPPORT,1,100%,-,19,0,15,3.3,448,29.1,1134,1.63,0.72,0.19,0.03,2896,-3,1881,100%,0%,0,1
488,Gadget,ADC,59,64.4%,4.1,3.5,2.2,5.5,8.8,429,26.4,484,1.01,0.39,0.23,0.13,338,3,209,20.3%,11.9%,0,15
489,Gaeng,SUPPORT,59,81.4%,8,1.1,1.3,9.6,1.5,282,9.1,174,2.18,1.35,0.26,0.42,307,-2,336,32.2%,10.2%,0,2
490,Gaio,ADC,19,10.5%,1.7,2.1,3.9,4.7,6.9,337,20.4,351,0.88,0.39,0.13,0.21,-826,-24,-506,10.5%,15.8%,0,1
491,Gama,SUPPORT,14,7.1%,1.9,0.9,3.2,5.3,1,231,15.3,225,1.77,1.02,0.26,0.31,-554,5,-212,14.3%,14.3%,0,1
492,Gama,JUNGLE,1,100%,10,1,1,9,5.7,348,6.1,138,1.17,0.13,0.25,0.16,-176,-11,-481,0%,0%,0,-
493,Gango,ADC,21,28.6%,2.9,2.5,2.4,4.6,9.6,410,26.7,431,1.01,0.36,0.30,0.14,-270,-2,-53,19%,4.8%,0,-
494,Ganknam,JUNGLE,6,16.7%,2,2.2,3.5,5,4.7,299,15.6,277,2.06,0.86,0.50,0.29,-415,5,-225,50%,0%,0,-
495,Gari,ADC,20,60%,5,4.8,2.2,6.3,8.7,448,26.9,566,1.08,0.40,0.21,0.09,193,0,-62,20%,5%,0,2
496,Gariaru,MID,42,14.3%,1.5,1.6,2.6,2.4,8.2,352,26.2,366,0.98,0.49,0.19,0.24,-501,-8,-289,4.8%,9.5%,0,7
497,Garo,MID,1,0%,1.6,4,5,4,8.4,381,24.7,328,0.76,0.44,0.17,0.20,125,-2,-1718,0%,100%,0,-
498,Garo,ADC,3,0%,3.8,2,1.7,4.3,8.3,392,34.4,591,1.15,0.60,0.13,0.19,-278,-27,-172,33.3%,0%,0,-
499,Garp,TOP,19,47.4%,1.8,2.2,3.4,3.9,7.4,365,22.6,412,0.87,0.43,0.07,0.20,-115,-4,-382,10.5%,15.8%,0,6
500,Garvey,TOP,13,23.1%,1.6,3.1,3.7,2.7,7.7,371,22.7,405,-,0.46,0.12,0.19,-,-,-,-,-,0,-
501,Gate,ADC,1,0%,2.7,6,3,2,1.4,337,13.5,269,1.95,1.08,0.31,0.45,64,-98,-296,0%,0%,0,-
502,Gate,SUPPORT,39,38.5%,2.6,0.9,3.1,7.2,1.6,264,9.0,159,2.22,1.34,0.26,0.38,80,4,-43,41%,10.3%,0,1
503,Gemini,JUNGLE,52,46.2%,2.8,2.1,2.8,5.6,4.8,314,14.5,249,2.07,0.85,0.53,0.40,-205,-4,-268,50%,7.7%,0,5
504,Gengar,JUNGLE,2,50%,1.2,1.5,4.5,4,4.3,275,13.7,240,1.62,0.44,0.56,0.34,-1158,-27,-2000,50%,0%,0,-
505,Genthix,SUPPORT,10,40%,2.6,0.7,2.9,6.8,1.5,245,10.3,164,2.05,1.22,0.30,0.34,-325,6,-16,40%,0%,0,-
506,Genya,MID,1,0%,1.7,0,3,5,9.8,396,20.5,340,1.17,0.63,0.08,0.33,-412,-24,-615,100%,0%,0,-
