euclidean,manhattan,Player
1673.4454039418545,2026.09109274016,Flawless
1340.0087605089325,1917.515596595849,369
803.6487044011765,1304.0234923315036,LvMao
917.171459871846,1263.7159989144081,Yagao
640.5715085899179,1014.3352964769906,Xx
638.8349804126741,992.3315264270577,Ming
845.2613803857292,990.5748086527708,TheShy
590.7435727149799,947.6470533532745,Uzi
528.6431252899989,945.928852956261,Ben
682.4933952933756,931.8894687075942,Lwx
497.06457693256624,879.602970502972,Crisp
604.7899078344127,873.8429916716518,Tian
597.3082819238274,872.4593205802388,Knight9
481.99903603605486,795.7431571921366,Baolan
516.2928629347596,783.6587265311402,xiaohu
473.20771454088634,733.3832848862394,Zoom
496.84027902812187,666.0289994187308,imp
382.3035116130182,662.42218900648,Karsa
370.1071562422261,657.0289265195324,LokeN
240.19140452981793,476.07394383071835,RooKie
319.1661485997751,420.1595283193427,Mark
294.576135219227,410.3553942044197,Southwind
298.4839780828562,401.50894237836854,SwordArt
292.165022024049,391.2193351177826,meiko
245.12575978314212,355.2724954561527,Doinb
223.41672692618263,328.3645515581491,Aix
177.66542951212168,328.1754301769749,Ning
241.55296899983273,327.8275945791912,Missing
180.49209979953022,309.7980868269159,JackeyLove
177.88676255683737,279.070079615627,GimGoon
176.62745864302372,253.76134293968443,SmLz
186.14377197909081,249.51924761863236,SofM
164.81172401521158,249.24471164928937,Ben4
161.0011707076981,237.2076315757381,beishang
157.3054356202809,230.59314201617372,Xiaopeng
164.0631107018714,224.89577451509092,Mystic
138.90052986943948,200.08558711281816,Kramer
138.30378433393187,197.620598270926,Meteor
141.26389593761488,197.4089307321979,jinjiao
118.98545422011274,188.54531071533984,Puff
122.54103772125835,185.4831019257562,iBOY
107.1433605651126,177.71978773286838,ZWuJi
115.77531180527731,159.39270902116053,Asura
81.14849597817174,118.464492758099,xiye
75.16549715262006,112.29503344976727,Poss
62.45118739759691,111.41503736167786,Y4
63.60263846984012,110.97277284196035,GALA
58.483439718346816,107.02174761083023,Changhong
60.55338963945996,104.51076084401431,kurO
57.373164384306946,91.47301207515609,Scout
44.63934697523276,80.18793513761247,Lies
39.27843929826113,77.06389987333985,icon
39.360029742469095,76.09100243332196,ADD
38.04799343174299,70.37343227431181,Yuuki
31.56099094337569,61.9622601377083,Jay
28.428839552048014,58.93968717818299,Maple
28.394671726003406,46.96368663081245,HuaTian
19.73031280294795,38.87274023229417,Twila
15.504790654408026,31.370885728076704,Flandre
7.599892868997683,15.260522259153856,Jinoo
