euclidean,manhattan,Player
890.6419101418585,1181.4142912477503,Yagao
569.9205797020641,864.2277209566969,Knight9
525.796677108735,816.5179053422659,xiaohu
530.8035422927891,672.0431584655491,Chovy
403.2115159369095,595.2394888139964,Grace
323.0899558311451,547.9358619451439,Caps
307.3120662524683,496.73095940842126,LlDER
291.25884483032877,451.1133350899579,Fly
286.8567940009149,428.74319543687875,Abbedagge
213.98931921104747,421.8185051428615,RooKie
268.5702964130915,395.8383140764611,Damonte
228.64970420487674,343.71057710549553,Soligo
177.72094496776742,337.5642729106373,Humanoid
217.90716290304488,333.0228056656273,Doinb
188.3915691792174,323.395792556312,Ucal
166.7373695971052,315.26382614584014,Nemesis
169.09869926866577,312.4183825992845,Faker
188.12346295906093,307.1406791175902,Bjergsen
156.53940176562,302.8382988097341,Nukeduck
133.97729606888754,265.94551400333194,Naehyun
127.98976149671134,261.8442029609652,ShowMaker
111.8883841743392,226.64835141714346,Jensen
120.54504755483264,224.3777307337635,PowerOfEvil
95.06649519422463,172.54793641148157,Dove
90.75044415255014,169.81985953743813,Nisqy
69.98947195904671,163.06938756887666,Bdd
56.36938554043297,121.96289104916694,Jay
61.94533264249351,111.83887520257697,xiye
50.27704783767799,110.75096649165863,HuaTian
44.5442155051129,93.0662189229252,kurO
42.49419698034276,83.73549653976607,Scout
43.704299564190116,83.34269872389541,Yuuki
41.09978538589242,79.7687472982877,icon
35.332077295184924,68.42054624318304,Maple
32.6422779803778,67.33773109955149,Twila
