euclidean,manhattan,Player
446.1662600133482,733.2069239558003,CoreJJ
441.57038295104803,683.0195678071358,Lira
512.9333339593147,666.0167856605423,Blaber
541.3447826180751,665.3338458782432,Ruin
361.45059741324593,615.8638350710889,Vulcan
348.6032434513406,580.2643335865871,Deftly
358.9644010710416,562.2016127271964,Sneaky
362.70163381986595,559.5026085507047,Svenskeren
378.9216767940014,555.6542354374693,Smoothie
315.84376892434835,493.9606956550413,Huni
285.03100056122,485.54423944414344,Cody Sun
353.4441832460483,484.0281905396216,Biofrost
265.8962955571041,481.57455590249197,Xmithie
247.0130866913476,419.10508725269733,Wiggily
291.52700129062555,399.1847984859084,Zeyzal
250.15681504993628,376.1521119953289,Panda
234.24285929834204,370.26466265795335,Lourlo
231.0867504630216,363.51296529951594,Doublelift
230.2603208980465,361.0737493477527,Damonte
225.6416759170987,312.1651792945277,Bjergsen
186.61552533264287,283.5179298334847,Zven
191.74630829337156,277.95271936731905,Soligo
150.21497245099445,258.462727240086,Stixxay
131.09050919414693,253.72122576568663,Jensen
126.06921903754134,220.41399072921803,PowerOfEvil
92.53177018432287,161.47601195423007,Nisqy
71.17823293985583,147.0837368408554,Impact
86.37640801715466,126.43080609754347,Broken Blade
33.01696698216259,85.21462820931961,Licorice
