euclidean,manhattan,Player
673.1010500643273,855.6996683503304,Lwx
598.2182473083394,806.0278971536798,Perkz
570.5837486898708,789.6171568918963,Uzi
368.75106065130586,610.3335824889296,LokeN
386.5759844465322,575.7051701863852,Viper
392.2239312231877,564.5110583633681,Neon
495.5077448207761,559.4351250815703,imp
350.72547973776386,540.2277701320471,Sneaky
321.96868351797815,525.0463571009706,Kobbe
311.06822855780433,484.42136091386215,Deftly
222.30541848137474,396.84826842636534,Rekkles
242.38865353557978,385.7365494734094,Cody Sun
232.20114237441814,383.41802555225377,HeaQ
165.50630946806015,311.48208393757704,Woolite
173.31414603357328,311.3465005252816,Patrik
154.8175293665771,301.4255339031767,Nuclear
152.83638825578672,297.5524623005106,Deft
166.86304755444112,294.6559277974748,Ruler
171.8277577313698,283.7024680808327,Stixxay
160.10565710247386,275.7869284919591,UpseT
145.60394007106572,242.28617023624517,Zven
99.80908580743586,239.17781285256524,Route
186.5325130684919,233.78107085434445,Doublelift
127.08453149647383,226.31432897594178,Sangyoon
97.68640009210125,212.5548895912707,JackeyLove
103.12662092330663,201.8318055891522,Ghost
87.24654197298628,183.71802970156176,Teddy
78.89585197158553,116.33122801430929,Aiming
79.59436558480658,108.56445147896476,SmLz
49.776354339421715,105.32709951826777,Y4
64.31825175887406,102.07825753775906,Mystic
52.79832818476768,98.76710701723793,GALA
39.8789450966018,89.17449765323066,ZWuJi
44.71852708533539,79.50597426651318,Kramer
43.8644160910958,75.22035308459851,jinjiao
32.28834960010938,70.14172488948083,Puff
27.271887942876745,45.25144979634383,iBOY
21.836044544869775,44.63385796296261,Asura
