euclidean,manhattan,Player
1344.8362836727135,1713.4195923632722,369
847.5110574829978,1142.2954568722723,TheShy
467.8767283445389,715.2375069909607,Zoom
528.1145014672131,696.907545625262,Ruin
349.1269708548492,564.1992407783605,Dan Dan
361.7067737412134,560.4211274769078,Lindarang
327.18112464796815,492.3979054773331,Kiin
331.9876723405479,489.4153171563057,Summit
318.3852641602943,481.8578209139487,Smeb
292.3339099033216,478.58581777713863,Nuguri
306.4990027677039,421.1664614095539,Huni
312.8277502635229,420.6348633703299,Rascal
243.98358482124746,399.2995349822387,Alphari
195.3605765443642,369.0582669528269,Sword
202.1055214676244,350.56730464151406,Odoamne
278.88371121912945,333.7627178336193,Wunder
237.97112804407593,329.41451392946226,CuVee
176.2343644767521,307.59956951660274,GimGoon
246.03620556083433,297.9955662656468,Lourlo
163.08346765862495,297.7610135754106,Khan
83.70274311565339,173.44205117226196,Bwipo
84.2696515841685,169.67311340766167,Impact
119.10212261536445,169.66208916394967,Vizicsacsi
103.29228301932625,164.65393168168572,Broken Blade
74.47590110129684,121.39778112666474,Poss
58.457429781696725,107.74731998884522,Changhong
50.81136733072745,102.66449732777306,ADD
47.1286471169491,102.50620248648315,Lies
40.93633803693017,91.86330264169155,Licorice
30.42755964975312,66.5328120192227,Jinoo
31.02144051984666,66.29425529605814,Flandre
