euclidean,manhattan,Player
470.17346175481583,669.607691736549,Perkz
408.21146316005064,636.7678909092634,Abbedagge
381.71608973218895,627.0683695729332,Inspired
384.23119569708354,605.5712936689383,IgNar
317.46387927909296,544.4614659445599,HeaQ
322.0690408747275,530.1418565592923,Patrik
320.6303959497845,528.8932303339819,Norskeren
340.6848139667211,525.7699400724545,Odoamne
324.44500800907554,505.6964871895231,Mithy
314.5760016399711,495.63940305631013,Neon
275.3740138015664,487.2505027521928,Mikyx
311.355296389887,485.6893516832357,Mystiques
270.86708861811,464.8039522031842,H1IVA
238.53490112772988,434.29802314925774,Kobbe
227.68193009559232,417.839342090807,Caps
257.6729223937187,408.7917637181321,Vizicsacsi
232.9868669488892,401.97770776703044,Jankos
219.17319925012217,392.95780431612695,Dan Dan
237.751207928556,365.5822974420494,Hylissang
211.26134446994845,364.88766261173254,LlDER
226.76909064241502,364.11937299345124,Woolite
185.42841905816684,345.84765380579967,Broxah
178.37105041476744,281.37257867134576,Xerxe
125.76882927222594,271.48502664833825,Humanoid
127.92138111855296,244.85875116070704,UpseT
150.23535613911244,236.33736128561185,Wunder
143.73226744430545,231.4993746508899,Nemesis
108.41375174726173,226.9518667776346,Rekkles
98.26549543133518,197.5399765128833,Bwipo
98.41007761411252,188.36459358673795,Alphari
69.32445150656089,162.77760620153322,Kirei
110.17954732882944,150.0891646226654,Nukeduck
