euclidean,manhattan,Player
1683.5397880665982,2098.476810599895,Flawless
1331.9670562390795,1983.8696364882624,369
808.2959097697834,1343.6117839834983,LvMao
906.8048679885915,1283.3458371547133,Yagao
625.6029058918838,1030.5268553851138,Xx
622.9361609814227,984.2887379907211,Ming
836.3504689591696,979.7039022335877,TheShy
524.599431699665,977.2448209470787,Ben
585.9731005690926,947.1404031346881,Uzi
674.3321388800769,929.9297615096376,Lwx
589.8737102331642,924.587388049359,Knight9
579.5910803214385,922.4026146382514,Lehends
517.5528092228329,906.3714775047191,Kellin
577.1277780875706,881.7105098513802,Malrang
591.5140598556065,874.9971587005186,Tian
480.88771254407675,869.2559443991074,Crisp
522.3399804715202,850.1405693741253,xiaohu
600.4843690471401,823.9682961765403,Perkz
502.0317426807982,801.5943341527125,Tarzan
503.35879854615115,797.1753191360164,Inspired
484.15921494450066,761.3814031162303,Baolan
478.095287364015,750.6655202924846,Zoom
542.6446898254662,732.9185353843452,Chovy
510.32659355663014,722.8699334766698,imp
383.4830245150033,703.587181915995,LokeN
517.4757048057318,695.5864237937737,Ruin
385.96139658658586,687.7397688732523,Karsa
482.95340584071334,677.7218715691608,Blaber
395.38713535073884,671.4616784670959,Sneaky
403.87776157646505,660.5187469121737,Lira
428.87875276634225,652.7476333686675,Neon
407.9910773830303,642.3826222508357,CoreJJ
391.8143075956713,642.1260726068793,bono
389.2750903384222,636.1348143238727,Viper
360.45410318724873,629.7238639449023,SnowFlower
356.90488651828815,621.5274429999132,Effort
370.1033027968675,603.579490377995,Smoothie
334.43980338286684,597.0669734695206,Deftly
331.7555821268253,594.1728126176101,Kobbe
351.4686722721304,587.792533769582,Vulcan
345.2946701811563,587.1052230337598,Caps
345.8152534710034,583.7715211707133,Jankos
285.709048616806,582.6581232610334,Nuguri
328.94993402683235,560.1910328517738,Svenskeren
311.0252114217245,559.4911348282753,Cuzz
285.48731368612454,556.588226892191,Dread
343.95696503924967,550.4185597879264,Mystiques
352.618805478789,545.6474787622515,Senan
305.1491124802504,544.3746463973681,Clid
330.2065065000444,539.5831302063816,LlDER
339.4208929263257,523.7070892542098,KeY
340.2760437647839,520.9840319643821,Mithy
338.54034936625646,519.1269476724774,TusiN
296.4622293638543,513.2960481320328,Huni
340.60206481037795,513.0756406945142,Dan Dan
324.0664832956199,509.07096004195296,IgNar
245.47927827726772,496.3591218226096,RooKie
383.4365106549427,490.4887343125365,Grace
325.1257323373965,487.0696802330434,Norskeren
371.50296251133295,484.7110234073895,Lindarang
275.5144257735649,479.15595473298544,Cody Sun
324.7836050989372,472.8841347083946,Rascal
279.8844519917411,465.7030496845178,Abbedagge
256.6421103454169,461.7157629491247,Xmithie
329.2344371102642,460.2774318614636,Smeb
246.3074762972289,455.42749076075665,Woolite
274.3265760357061,451.61562022542284,Zeyzal
323.300907468648,448.1909182217116,Biofrost
314.7524093010299,447.148890684668,Kiin
271.42089070007876,443.4019026966304,Hylissang
324.2989015753908,442.8453285205899,Life
232.61504439809684,439.92494190820906,Panda
222.58118926582665,434.7183734317263,Deft
270.2139521928694,432.96349991593496,H1IVA
206.67894928562814,428.1171999944834,Ruler
306.4930761315213,422.2679050482438,Mark
328.5464007357969,419.57811643185033,Mata
282.35214004886734,412.30357428531846,Southwind
321.1411349096003,411.9505161592944,Summit
295.19306882661533,410.72206539934115,BeryL
233.7024863233959,406.4499275750007,Wiggily
205.31705576067873,405.2118608539355,Humanoid
285.885408874859,404.5243072697986,SwordArt
261.72228272404584,404.3956172971195,Mikyx
234.06705560442202,403.4341808269211,HeaQ
267.3916405500567,403.04835338966257,Wunder
238.85151949823413,398.1024693491206,Score
250.7459708301357,392.86234295396554,Damonte
279.5328821403489,392.829246423151,meiko
265.5869536066838,390.8405206631092,Peanut
228.97640293510557,389.8418749448944,Soligo
217.57520176857744,389.39613752634506,Rekkles
204.6326600641081,386.3198007290098,Patrik
249.4299032890422,370.3580819481443,CuVee
218.22787619441004,368.1381268521831,Xerxe
268.97625274545726,367.8480131070348,Fly
211.74956715234325,367.50965086842655,Odoamne
238.1285779563221,367.43268221376576,Doinb
257.817292756117,366.1289964263772,Lourlo
205.87153733241541,364.36318075070983,Zven
303.38139426766946,361.3190856612772,Joker
192.9800376778602,360.4038440284617,JackeyLove
196.55805932987562,359.7965957787374,Canyon
187.7564197906923,357.2008751109577,Nemesis
183.3594114437122,353.793400173222,Faker
199.10347301443008,353.2274388459807,UpseT
219.05868253582454,349.98280005107637,Doublelift
208.62665000024515,341.4401873087516,Bjergsen
211.46477122812942,337.22444993950063,Aix
229.10791244616652,332.0178083398815,Missing
183.36111305245277,331.0954741017742,Sword
195.34479885380557,329.31278437961237,Kirei
185.1581148171902,326.9445531789409,Stixxay
149.53788285785737,325.4826730356729,Nuclear
231.85190744679204,322.5050399617331,Alphari
187.4692543742577,320.93959988960756,GimGoon
161.05607352560185,318.8742916152569,Ning
147.22118364361364,313.23218436501674,Sangyoon
197.02788964970307,312.0146297605923,OnFleek
157.6773722860545,304.32406274983947,Teddy
178.05084954041305,298.5343930265917,Ucal
154.66682157839378,298.3980183196238,Khan
165.75932253185076,290.7792027513988,Nukeduck
136.27910337238436,280.98875476000836,Jensen
159.5255901768519,278.3775863310353,Broxah
143.91688555044834,266.45748229725103,PowerOfEvil
153.2886487547672,262.76524879148064,Ben4
191.3775397387488,261.7026755784271,SmLz
174.36801439949016,257.99284520858123,SofM
138.87964397078787,249.53898144050743,ShowMaker
149.05345123659447,239.09208964637193,beishang
144.31452092903928,236.75488982700116,Aiming
107.81459978608531,235.32309675929406,Ghost
145.65812271120026,233.46529841576591,Xiaopeng
178.9152063452086,229.1902118149943,Mystic
132.1308965422228,226.28306249504126,Vizicsacsi
100.48775916558523,225.06754108472546,Route
154.37549463201748,218.94576863789496,Kramer
117.57160648285065,214.5549474279463,Broken Blade
111.49924080790181,212.77744240927726,Naehyun
156.3792147776091,205.89788389949726,jinjiao
127.00355016999814,204.82195260392464,Meteor
93.36782048839311,203.8082512108248,Impact
97.69079983863612,200.80740236991917,Nisqy
105.32648822551488,199.34995790954224,Dove
122.62109244606317,197.57825511816011,ZWuJi
134.9659235437107,195.10059901114317,Puff
137.58379638241365,188.46133727489922,iBOY
83.35571790882553,186.52053500197894,Bwipo
131.5417501103094,170.53262221003934,Asura
67.60880879314705,149.08509128203727,Bdd
79.54531989155457,140.86447790315987,GALA
79.47543839525198,136.76864593179172,Y4
56.03243713794205,136.75944669392075,Licorice
97.004342539751,136.4848014479148,xiye
76.37455860728836,131.26565909386778,kurO
55.56007310843447,122.46021971642554,icon
65.8452150498753,120.1496572694601,Poss
51.78765626168566,118.1081840842063,Yuuki
74.00927203533969,116.11566155896861,Scout
54.20566994835872,111.07896452023539,ADD
50.83674995844283,110.81207774103709,Changhong
39.903157731702926,98.57855534836364,HuaTian
41.22864237278162,93.786123971148,Lies
44.83001788380895,92.56742706294364,Maple
38.24834302200044,91.33180303731005,Jay
39.39276223923391,78.30325178869246,Twila
31.274510025836815,63.010017609752936,Jinoo
26.91421322934427,53.745109290357824,Flandre
