euclidean,manhattan,Player
579.8353307351085,892.9619413954272,Lehends
513.0510731936413,746.8113861061148,Tarzan
454.9452777422021,726.3469126161499,Kellin
574.9816277503945,702.6752525221646,Chovy
525.9958825797335,675.4757432613889,Malrang
428.7003922101944,665.116265431455,Viper
334.1687893932797,601.271528311454,Nuguri
354.20050421328943,548.1416670478952,Grace
286.6383741588271,532.3063310843565,Effort
286.01131555442396,514.380838260883,Deft
312.4435827159801,512.9313999982824,Cuzz
296.44340308784655,502.7934131180836,Rascal
288.04033889066983,493.8330806408963,SnowFlower
258.60395986420394,477.63413352978506,Ruler
329.8994764705899,476.49386283612984,bono
286.9152907670227,475.7334497190527,Senan
291.3778486563061,473.10353809709824,Clid
302.1073362543361,454.79696917444187,Smeb
293.68887829698934,448.74020186340357,TusiN
362.1608825351187,445.7627702420633,Summit
346.2239170340604,439.2235374646513,Kiin
334.6661074413286,426.00314601269207,Lindarang
217.99137977817867,415.46999044001205,Dread
272.911444262266,410.0220315488908,KeY
241.99131344716446,400.0658252851418,Fly
222.1647430175363,370.34662066474027,Faker
221.37791515710322,367.5143867923644,CuVee
211.2726909603832,364.3872775666866,Teddy
269.56933189946386,363.54637759649336,Life
216.2017360029091,359.91723507476644,Aiming
263.8689587417952,339.079767698201,Mata
230.3476403177787,327.23888270120466,BeryL
181.51136360808636,323.470654787566,Score
160.03513368088124,322.1164571419816,Nuclear
196.3013005523234,321.82052161601763,Khan
212.6858193436063,312.14121095219167,Sword
182.7753219954512,306.463669079438,Ucal
176.13800286251765,301.863484520944,Sangyoon
203.0740331378535,298.21056895379934,Peanut
246.31744796255927,297.32331485063764,Joker
154.9275547323018,293.3637119735175,Dove
178.52328827735508,275.81610308272246,ShowMaker
142.42798614951147,239.62441407087118,Ghost
126.03736678856355,214.55012386175045,Canyon
108.11921891073953,209.68938341126287,Bdd
129.20959142476062,201.63395964135643,Route
118.88515759393272,194.21606415387228,Naehyun
130.87033248503081,188.80130541951513,OnFleek
